id,Название идеи,Балл,Подробное описание,Краткое описание,Направление),Количество участников проекта,Сроки реализации,Язык программирования,Уровень подготовки,Предлагаемые технологии
11,Разработка финансового приложения,64,"Приложение, которое поможет вам отслеживать все ваши ежедневные расходы и управлять бюджетом. Вносите информацию о своих тратах и устанавливайте ежемесячные лимиты, чтобы контролировать свои финансы. Вы также можете создать долгосрочные финансовые планы, установить цели и отслеживать свой прогресс. Вы сможете анализировать свои доходы и расходы, чтобы понять, как улучшить свои финансовые результаты.",Личный финансовый ассистент.,Mobile,3-8 человек,от месяца до полугода,Kotlin,средний,"MongoDB/ MySQL, Jetpack Compose"
12,Приложение для чтения книг,67,"Создайте коллекцию электронных книг. Добавьте возможность прослушивания аудиокниг. Персонализируйте приложение: добавьте выбор шрифтов и цветовой гаммы. Также реализуйте систему закладок, чтобы пользователь мог без труда вернуться к чтению или прослушиванию книги.",Персональная библиотека.,Mobile,3-8 человек,от месяца до полугода,Kotlin,средний,"Firebase, MySQL, Jetpack Compose"
13,Приложение для создания и редактирования фотографий,65,"Создайте такое приложение, которое будет вашим персональным помощником в обработке фотографий. Реализуйте удобный и многофункциональный инструмент для обработки изображений. Ваше приложение может содержать следующие функции: возможность для обрезки и изменения размера фотографий,  управление слоями, сохранение и экспорт фотографий, инструменты для ретуширования, изменение яркости, применение различных фильтров и эффектов, коррекция цветового баланса, изменение резкости.",Создавай и редактируй фотографии при помощи различных фильтров и эффектов.,Mobile,более 3-8,от месяца до полугода,Kotlin,средний,"Expo, Firebase, Jetpack Compose"
14,Игра “Шахматы”,69,"Программа реализует возможно регистрации аккаунтов и хранит их в базе с соответствующим рейтингом. Рейтинг выдается всем при регистрации в одинаковом количестве. Далее за поражение рейтинг снимается, а за победу начисляется. Каждый раз обновляются данные в базе данных. А также программа собственно реализует игровой процесс шахмат: проверяет корректность ходов, которые хочет совершить пользователь, и совершает только возможные по правилам игры ходы.",Этот сервис позволит пользователю играть в шахматы со специально обученной программой,Front+Back,3-8 человек,от недели до месяца,Python,начинающий,"Библиотека python-sql, JavaScript, HTML, CSS, PostgreSQL"
15,Веб-игра “Головоломка”,60,"Реализуйте уровни: игрок начинает с простых уровней, а заканчивает сложными. Создайте различные типы головоломок. Пускай у вашей игры будет шкала прогресса, пользователь должен видеть, сколько ему еще осталось пройти. Также реализуйте систему подсказок.","Создание онлайн-игры, в которой игроки будут решать различные головоломки и логические задачи",Front+Back,3-8 человек,от месяца до полугода,JavaScript,начинающий,"Phaser.js, БД для хранения результатов игроков, WebGL, HTML, CSS, Python"
16,Онлайн калькулятора,54,"Создайте онлайн калькулятор, который будет размещен на вашем веб-сайте. Реализуйте базовые математические операции: сложение, умножение, вычитание и деление.Дополните его тригонометрическими функциями, возможностью возведения в степень, извлечения корня. Добавьте в него свойства логарифмов. Сделайте историю расчетов и проверку на введенные данные. Добавьте настройки калькулятора, где пользователь сможет настроить калькулятор под себя (тема, шрифты).",Онлайн калькулятор для решения различных математических задач.,Frontend,2 человека,от недели до месяца,JavaScript,средний,"React.js, HTML, CSS"
17,Интерактивная карта.,65,"Сделайте так, чтобы карта показывала, где вы именно сейчас находитесь, настройте маршрутизацию, реализуйте взаимодействие с картой: пускай она рассказывает про разные достопримечательности, где можно отдохнуть и т.д.. Персонализируйте карту, пускай пользователь сможет выбрать удобную для него тему, масштаб карты, вид.",Интерактивная карта с возможностью взаимодействия с ней.,Front+Back,3-8 человек,от недели до месяца,JavaScript,средний,"Leaflet.js, Google Maps API, Google Cloud Speech-to-Text API, MongoDB/ MySQL, HTML, CSS, Python"
18,Генератор паролей,66,"Реализуйте алгоритм, который будет создавать пароли разной сложности на вашем сайте. Пользователь должен иметь возможность выбирать длину. Ваш алгоритм должен составлять пароли из букв не только нижнего, но и верхнего регистра, из цифр и специальных символов. Оптимизируйте свой алгоритм, чтобы генерация выполнялась мгновенно.",Не тратьте время на придумывание паролей - реализуй генератор паролей.,Frontend,2 человека,меньше недели,JavaScript,начинающий,"React.js, HTML, CSS"
19,Клавиатурный тренажер,67,"Реализуйте интерактивный инструмент на сайте, который направлен на приобретение навыка десятипальцевого набора и увеличения скорости печати на клавиатуре. Создайте разные уровни сложности. Реализуйте как англоязычную, так и русскоязычную клавиатуры.Оптимизируйте свою программу, чтобы при напечатывании слов не было никакой задержки или чтобы она была минимальной.","Программа, предназначенная для обучения слепой печати, приобретения навыка десятипальцевого набора и увеличения скорости печати на клавиатуре. компьютера.",Front+Back,1 человек,от недели до месяца,JavaScript,средний,"React.js, HTML, CSS, Python"
20,Онлайн календарь,76,"Данный календарь должен будет предоставлять пользователям возможность легко планировать свои ежедневные, недельные и месячные задачи, встречи и события, создавать напоминания и следить за расписанием. Персонализируйте календарь: добавьте возможность менять фон, выбирать темы, стили.",Разработка веб-приложения для создания и хранения персональных и общедоступных календарей с возможностью добавления событий и напоминаний.,Front+Back,2 человека,от месяца до полугода,JavaScript,средний,"React.js, PostgreSQL, Google Calendar, HTML, CSS, Python"
21,Разработка интерфейса для онлайн-магазина,77,"Разработка интерфейса для онлайн-магазина включает в себя создание удобного и привлекательного пользовательского интерфейса для поиска, просмотра и покупки товаров, а также обработки платежей и управления заказами.","Создайте удобный, привлекательный и интуитивно понятный для онлайн-магазина.",Frontend,2 человека,меньше недели,JavaScript,начинающий,"React, Angular или Vue.js, HTML, CSS"
